date,carbon,population
2018,,
2017,,7530360149.0
2016,,7444157356.0
2015,,7357559450.0
2014,36138285.0,7271322821.0
2013,35837591.0,7185137526.0
2012,35470891.0,7099557649.0
2011,34847501.0,7014983968.0
2010,33472376.0,6932869743.0
2009,31891899.0,6849569339.0
2008,32181592.0,6766296679.0
2007,31180501.0,6683223772.0
2006,30568112.0,6601476541.0
2005,29490014.0,6520298763.0
2004,28393581.0,6439825381.0
2003,27047792.0,6359899296.0
2002,25646998.0,6280530065.0
2001,25276631.0,6201340258.0
2000,24689911.0,6121682736.0
1999,24059187.0,6041818586.0
1998,24114192.0,5961166037.0
1997,23975007.348,5879433900.0
1996,23571556.674,5796632117.0
1995,23037524.13,5713794372.0
1994,22551690.634,5628791176.0
1993,22162174.56,5544873088.0
1992,22183417.491,5459753865.0
1991,22403928.869,5375488619.0
1990,22149402.399,5288103214.0
1989,22029385.156,5197758286.0
1988,21565403.313,5108813278.0
1987,20817151.963,5020001104.0
1986,20315356.016,4932113625.0
1985,19719241.162,4846338372.0
1984,19145865.375,4763043102.0
1983,18484356.91,4681262096.0
1982,18562354.0,4599181616.0
1981,18726246.898,4517802648.0
1980,19324327.264,4439337768.0
1979,19533547.949,4362863944.0
1978,18497906.475,4287155675.0
1977,18279804.316,4213305195.0
1976,17726098.317,4140647339.0
1975,16745791.873,4067740568.0
1974,16850822.087,3992871281.0
1973,16822109.477,3916243701.0
1972,15957192.522,3840269676.0
1971,15323175.556,3763393039.0
1970,14788798.314,3685753341.0
1969,13797116.836,3610178793.0
1968,13017193.607,3535355316.0
1967,12389685.566,3464689185.0
1966,12009447.002,3394783653.0
1965,11433441.976,3324545319.0
1964,10947007.092,3257459749.0
1963,10355747.346,3191786428.0
1962,9818839.874,3126509809.0
1961,9434402.595,3073368589.0
1960,9396705.835,3032160395.0
